,col
174,"Normal, Combination, Oily"
175,"Normal, Combination, Oily"
176, Dry 
177,"Normal, Dry, Combination "
178,"Normal, Dry, Combination, Oily "
179,"Normal, Dry, Combination, Oily "
180,"Normal, Dry "
181,"Normal, Combination, Oily"
182,"Normal, Dry, Combination, Oily "
183,"Normal, Combination "
184,"Combination, Oily "
185,"Normal, Dry, Combination, Oily "
186,"Combination, Oily "
187,"Combination, Oily "
188,"Normal, Dry "
189,"Normal, Dry"
190,"Normal, Dry "
191,"Normal, Dry "
192,"Normal, Dry"
193,"Combination, Oily "
194,"Combination, Oily "
195,"Normal, Dry, Combination, Oily "
196,"Normal, Dry"
197,"Normal, Dry, Combination, Oily "
198,"Normal, Combination, Oily"
199,"Normal, Dry, Combination, Oily "
200,"Normal, Dry, Combination, Oily "
201,"Normal, Dry, Combination, Oily "
202,"Normal, Dry, Combination, Oily "
203,"Normal, Combination, Oily"
204,"Normal, Dry, Combination, Oily "
205,Sensitive
206,Normal
207,"Normal, Combination, Oily"
208,"Normal, Combination, Oily"
209,"Normal, Dry"
210,Dry
211,Dry
212,"Normal, Dry, Combination, Oily "
213,Dry
214,"Normal, Combination, Oily"
215,"Normal, Dry, Combination, Oily "
216,"Normal, Dry, Combination, Oily "
217,"Normal, Combination, Oily"
218,"Normal, Dry, Combination, Oily "
219,"Normal, Dry, Combination, Oily "
220,"Normal, Dry"
221,"Normal, Dry"
222,"Normal, Dry, Combination, Oily "
223,"Normal, Dry, Combination, Oily "
224,"Normal, Combination, Oily"
225,"Normal, Dry, Combination, Oily "
226,"Normal, Dry, Combination, Oily "
227,"Normal, Dry, Combination, Oily "
228,"Normal, Dry, Combination, Oily "
229,"Normal, Combination, Oily"
230,"Normal, Dry, Combination, Oily "
231,"Normal, Dry, Combination, Oily "
232,"Normal, Dry, Combination, Oily "
233,"Normal, Combination"
234,"Normal, Dry, Combination, Oily "
235,"Normal, Combination, Oily"
236,Dry
237,"Normal, Combination"
238,"Combination, Oily"
239,Normal
240,"Normal, Dry  "
241,"Normal, Dry, Combination, Oily "
242,"Combination, Oily"
243,"Normal, Dry, Combination, Oily "
244,"Normal, Dry, Combination, Oily "
245,"Normal, Dry, Combination, Oily "
246,"Normal, Dry, Combination, Oily "
247,"Normal, Dry, Combination, Oily "
248,Dry
249,"Combination, Oily"
250,"Normal, Dry, Combination, Oily "
251,"Combination, Oily"
252,"Normal, Dry, Combination, Oily "
253,"Normal, Dry, Combination, Oily "
254,"Normal, Dry, Combination, Oily "
255,Dry
256,"Normal, Combination, Oily"
257,"Combination, Oily"
258,"Normal, Combination, Oily"
259,"Normal, Combination, Oily"
260,"Normal, Combination, Oily"
261,"Combination, Oily"
262,"Normal, Dry, Combination, Oily "
263,"Normal, Dry, Combination, Oily "
264,Dry
265,"Normal, Dry, Combination, Oily "
266,"Normal, Dry"
267,"Combination, Oily"
268,Dry
269,"Normal, Dry, Combination, Oily "
270,"Normal, Dry, Combination, Oily "
271,"Normal, Dry, Combination, Oily "
272,"Combination, Oily"
273,"Normal, Dry, Combination, Oily "
274,"Normal, Dry, Combination, Oily "
275,"Normal, Dry, Combination, Oily "
276,"Normal, Dry, Combination, Oily "
277,"Normal, Dry, Combination, Oily "
278,"Normal, Dry, Combination, Oily "
279,"Normal, Dry, Combination, Oily "
280,"Normal, Dry, Combination, Oily "
281,"Normal, Dry, Combination, Oily "
282,"Normal, Dry, Combination, Oily "
283,"Normal, Dry, Combination, Oily "
284,"Combination, Oily"
285,"Combination, Oily"
286,"Normal, Dry, Combination, Oily "
287,"Normal, Dry, Combination, Oily "
288,"Normal, Dry, Combination, Oily "
289,"Combination, Oily"
290,"Normal, Dry, Combination, Oily "
291,"Combination, Oily"
292,"Combination, Oily"
293,"Normal, Dry, Combination, Oily "
294,"Normal, Dry, Combination, Oily "
295,"Combination, Oily "
296,"Combination, Oily"
297,"Normal, Dry, Combination, Oily "
298,Normal
299,"Normal, Dry, Combination, Oily "
300,"Normal, Dry, Combination, Oily "
301,"Normal, Dry, Combination, Oily "
302,"Combination, Oily"
303,"Normal, Dry, Combination, Oily "
304,Dry
305,"Combination, Oily"
306,"Combination, Oily"
307,"Normal, Dry, Combination, Oily "
308,Normal
309,"Normal, Dry, Combination, Oily "
310,Normal
311,"Normal, Dry, Combination, Oily "
312,"Normal, Dry, Combination, Oily "
313,"Normal, Dry, Combination, Oily "
314,"Combination, Oily"
315,"Combination, Oily"
316,"Normal, Dry"
317,"Normal, Dry, Combination, Oily "
318,"Normal, Dry"
319,"Normal, Combination, Oily"
320,"Normal, Dry, Combination, Oily "
321,"Dry, Combination, Oily "
322,"Normal, Dry, Combination, Oily "
323,"Normal, Combination, Oily"
324,"Normal, Dry, Combination, Oily "
325,"Normal, Dry, Combination, Oily "
326,"Combination, Oily"
327,Dry
328,"Normal, Dry, Combination, Oily "
329,"Normal, Dry, Combination, Oily "
330,"Sensitive, Normal"
331,"Combination, Oily"
332,"Normal, Dry, Combination, Oily "
333,"Normal, Dry, Combination, Oily "
334,"Normal, Dry, Combination, Oily "
335,"Normal, Dry, Combination, Oily "
336,"Normal, Dry, Combination, Oily "
337,Sensitive
338,"Normal, Dry, Combination, Oily "
339,"Normal, Dry, Combination, Oily "
340,Normal 
341,"Normal, Dry, Combination, Oily "
342,Normal 
343,Normal 
344,"Normal, Dry, Combination, Oily "
345,"Normal, Dry, Combination, Oily "
346,"Normal, Dry, Combination, Oily "
347,"Combination, Oily"
348,"Normal, Dry, Combination, Oily "
349,"Normal, Combination, Oily"
350,"Normal, Dry, Combination, Oily "
351,"Combination, Oily"
352,"Normal, Dry, Combination, Oily "
353,"Combination, Oily"
354,"Normal, Dry, Combination, Oily "
355,"Normal, Dry, Combination, Oily "
356,"Normal, Combination, Oily"
357,"Normal, Combination, Oily"
358,"Normal, Combination, Oily"
359,"Normal, Dry, Combination, Oily "
360,"Normal, Dry, Combination, Oily "
361,"Normal, Dry, Combination, Oily "
362,"Normal, Dry, Combination, Oily "
363,"Combination, Oily"
364,"Dry, Combination "
365,"Normal, Dry, Combination, Oily "
366,"Normal, Dry, Combination, Oily "
367,"Normal, Dry, Combination, Oily "
368,"Normal, Dry, Combination, Oily "
369,"Normal, Combination, Oily"
370,"Normal, Dry, Combination, Oily "
371,"Normal, Dry"
372,"Normal, Dry, Combination, Oily "
373,"Normal, Dry, Combination, Oily "
374,"Normal, Dry, Combination, Oily "
375,"Normal, Dry, Combination, Oily "
376,"Normal, Dry, Combination, Oily "
377,"Combination, Oily"
378,"Normal, Combination, Oily"
379,"Normal, Combination, Oily"
380,"Normal, Combination, Oily"
381,"Normal, Combination, Oily"
382,"Normal, Dry, Combination, Oily"
383,"Normal, Dry, Combination, Oily"
384,"Normal, Combination, Oily"
