,col
167,"Normal, Combination, and Oily"
168,"Normal, Combination, and Oily"
169,"Normal, Dry, Combination, and Oily "
170,"Normal, Dry, Combination, and Oily "
171,"Normal, Combination, and Oily"
172,"Normal, Dry, Combination, and Oily "
173,"Normal, Combination, and Oily"
174,"Normal, Combination, and Oily"
175,"Normal, Combination, and Oily"
176, Dry 
177,"Normal, Dry, and Combination "
178,"Normal, Dry, Combination, and Oily "
179,"Normal, Dry, Combination, and Oily "
180,Normal and Dry 
181,"Normal, Combination, and Oily"
182,"Normal, Dry, Combination, and Oily "
183,Normal and Combination 
184,Combination and Oily 
185,"Normal, Dry, Combination, and Oily "
186,Combination and Oily 
187,Combination and Oily 
188,"Normal, Dry "
189,Normal and Dry
190,Normal and Dry 
191,Normal and Dry 
192,Normal and Dry
193,Combination and Oily 
194,Combination and Oily 
195,"Normal, Dry, Combination, and Oily "
196,Normal and Dry
197,"Normal, Dry, Combination, and Oily "
198,"Normal, Combination, and Oily"
199,"Normal, Dry, Combination, and Oily "
200,"Normal, Dry, Combination, and Oily "
201,"Normal, Dry, Combination, and Oily "
202,"Normal, Dry, Combination, and Oily "
203,"Normal, Combination, and Oily"
204,"Normal, Dry, Combination, and Oily "
205,Sensitive
206,Normal
207,"Normal, Combination, and Oily"
208,"Normal, Combination, and Oily"
209,Normal and Dry
210,Dry
211,Dry
212,"Normal, Dry, Combination, and Oily "
213,Dry
214,"Normal, Combination, and Oily"
215,"Normal, Dry, Combination, and Oily "
216,"Normal, Dry, Combination, and Oily "
217,"Normal, Combination, and Oily"
218,"Normal, Dry, Combination, and Oily "
219,"Normal, Dry, Combination, and Oily "
220,"Normal, Dry"
221,"Normal, Dry"
222,"Normal, Dry, Combination, and Oily "
223,"Normal, Dry, Combination, and Oily "
224,"Normal, Combination, and Oily"
225,"Normal, Dry, Combination, and Oily "
226,"Normal, Dry, Combination, and Oily "
227,"Normal, Dry, Combination, and Oily "
228,"Normal, Dry, Combination, and Oily "
229,"Normal, Combination, and Oily"
230,"Normal, Dry, Combination, and Oily "
231,"Normal, Dry, Combination, and Oily "
232,"Normal, Dry, Combination, and Oily "
233,Normal and Combination
234,"Normal, Dry, Combination, and Oily "
235,"Normal, Combination, and Oily"
236,Dry
237,Normal and Combination
238,"Combination, Oily"
239,Normal
240,Normal and Dry  
241,"Normal, Dry, Combination, and Oily "
242,"Combination, Oily"
243,"Normal, Dry, Combination, and Oily "
244,"Normal, Dry, Combination, and Oily "
245,"Normal, Dry, Combination, and Oily "
246,"Normal, Dry, Combination, and Oily "
247,"Normal, Dry, Combination, and Oily "
248,Dry
249,"Combination, Oily"
250,"Normal, Dry, Combination, and Oily "
251,"Combination, Oily"
252,"Normal, Dry, Combination, and Oily "
253,"Normal, Dry, Combination, and Oily "
254,"Normal, Dry, Combination, and Oily "
255,Dry
256,"Normal, Combination, and Oily"
257,"Combination, Oily"
258,"Normal, Combination, and Oily"
259,"Normal, Combination, and Oily"
260,"Normal, Combination, and Oily"
261,"Combination, Oily"
262,"Normal, Dry, Combination, and Oily "
263,"Normal, Dry, Combination, and Oily "
264,Dry
265,"Normal, Dry, Combination, and Oily "
266,Normal and Dry
267,"Combination, Oily"
268,Dry
269,"Normal, Dry, Combination, and Oily "
270,"Normal, Dry, Combination, and Oily "
271,"Normal, Dry, Combination, and Oily "
272,"Combination, Oily"
273,"Normal, Dry, Combination, and Oily "
274,"Normal, Dry, Combination, and Oily "
275,"Normal, Dry, Combination, and Oily "
276,"Normal, Dry, Combination, and Oily "
277,"Normal, Dry, Combination, and Oily "
278,"Normal, Dry, Combination, and Oily "
279,"Normal, Dry, Combination, and Oily "
280,"Normal, Dry, Combination, and Oily "
281,"Normal, Dry, Combination, and Oily "
282,"Normal, Dry, Combination, and Oily "
283,"Normal, Dry, Combination, and Oily "
284,"Combination, Oily"
285,"Combination, Oily"
286,"Normal, Dry, Combination, and Oily "
287,"Normal, Dry, Combination, and Oily "
288,"Normal, Dry, Combination, and Oily "
289,"Combination, Oily"
290,"Normal, Dry, Combination, and Oily "
291,"Combination, Oily"
292,"Combination, Oily"
293,"Normal, Dry, Combination, and Oily "
294,"Normal, Dry, Combination, and Oily "
295,Combination and Oily 
296,"Combination, Oily"
297,"Normal, Dry, Combination, and Oily "
298,Normal
299,"Normal, Dry, Combination, and Oily "
300,"Normal, Dry, Combination, and Oily "
301,"Normal, Dry, Combination, and Oily "
302,"Combination, Oily"
303,"Normal, Dry, Combination, and Oily "
304,Dry
305,"Combination, Oily"
306,"Combination, Oily"
307,"Normal, Dry, Combination, and Oily "
308,Normal
309,"Normal, Dry, Combination, and Oily "
310,Normal
311,"Normal, Dry, Combination, and Oily "
312,"Normal, Dry, Combination, and Oily "
313,"Normal, Dry, Combination, and Oily "
314,"Combination, Oily"
315,"Combination, Oily"
316,Normal and Dry
317,"Normal, Dry, Combination, and Oily "
318,Normal and Dry
319,"Normal, Combination, and Oily"
320,"Normal, Dry, Combination, and Oily "
321,"Dry, Combination, and Oily "
322,"Normal, Dry, Combination, and Oily "
323,"Normal, Combination, and Oily"
324,"Normal, Dry, Combination, and Oily "
325,"Normal, Dry, Combination, and Oily "
326,Combination and Oily
327,Dry
328,"Normal, Dry, Combination, and Oily "
329,"Normal, Dry, Combination, and Oily "
330,"Sensitive, Normal"
331,Combination and Oily
332,"Normal, Dry, Combination, and Oily "
333,"Normal, Dry, Combination, and Oily "
334,"Normal, Dry, Combination, and Oily "
335,"Normal, Dry, Combination, and Oily "
336,"Normal, Dry, Combination, and Oily "
337,Sensitive
338,"Normal, Dry, Combination, and Oily "
339,"Normal, Dry, Combination, and Oily "
340,Normal 
341,"Normal, Dry, Combination, and Oily "
342,Normal 
343,Normal 
344,"Normal, Dry, Combination, and Oily "
345,"Normal, Dry, Combination, and Oily "
346,"Normal, Dry, Combination, and Oily "
